summaryeffectID,metaname,intsp,intname,intmet,BACI,BA,CI,Total,summeff_conv,var_conv,loCI_conv,upCI_conv,summeff_wei,var_wei,loCI_wei,upCI_wei
S1,Sandstr?m et al. 2019,Saproxylic insects,all,abundance,10,0,23,33,0.940966339,0.029947096,0.601783845,1.280148833,1.303105238,0.052604124,0.853567696,1.75264278
S2,Sandstr?m et al. 2019,Saproxylic insects,burn,abundance,8,0,11,19,1.234226217,0.040852005,0.838073391,1.630379042,1.79553394,0.068370323,1.28303864,2.308029241
S3,Sandstr?m et al. 2019,Saproxylic insects,create,abundance,2,0,8,10,0.741809506,0.128354673,0.039607746,1.444011265,0.619898187,0.164624524,-0.17535119,1.415147565
S4,Sandstr?m et al. 2019,Saproxylic insects,add,abundance,0,0,4,4,0.6717588,0.107158679,0.030150835,1.313366764,0.463615261,0.170191085,-0.344967495,1.272198017
S5,Sandstr?m et al. 2019,Saproxylic insects,pest,abundance,1,0,13,14,0.499704263,0.051727767,0.053926977,0.945481548,0.978025364,0.082475109,0.415143156,1.540907572
S6,Sandstr?m et al. 2019,Saproxylic insects,rare,abundance,3,0,6,9,1.008496054,0.091943342,0.414181708,1.6028104,1.282963461,0.100675752,0.661066388,1.904860534
S7,Sandstr?m et al. 2019,Beetles (unspecifieD),all,abundance,1,1,1,3,1.396646966,0.277067842,0.364957176,2.428336756,0.795783346,0.496579863,-0.585397743,2.176964435
S8,Sandstr?m et al. 2019,Ground insects,all,abundance,0,0,6,6,-0.672470734,0.4208248,-1.943942539,0.599001072,-1.945535087,0.869015931,-3.772667157,-0.118403017
S9,Sandstr?m et al. 2019,Wood-inhabiting fungi,all,abundance,1,1,3,5,2.745165167,0.440821774,1.443834722,4.046495611,2.443618848,0.492615396,1.067962166,3.81927553
S10,Sandstr?m et al. 2019,Wood-inhabiting fungi,rare,abundance,1,1,0,2,0.21536538,0.405929633,-1.033401723,1.464132483,0.275154246,0.426024798,-1.004149027,1.554457519
S11,Sandstr?m et al. 2019,Cavity-nesting birds,all,abundance,0,1,6,7,0.580660004,0.16870034,-0.224373676,1.385693683,0.829111965,0.18462705,-0.013065733,1.671289663
S12,Sandstr?m et al. 2019,Saproxylic insects,all,richness,12,0,18,30,1.737251282,0.284082444,0.692583337,2.781919227,1.948584334,0.420471575,0.677646255,3.219522414
S13,Sandstr?m et al. 2019,Saproxylic insects,burn,richness,10,0,10,20,1.895511685,0.133283482,1.179954681,2.611068688,2.28380384,0.151645768,1.520546097,3.047061583
S14,Sandstr?m et al. 2019,Saproxylic insects,create,richness,2,0,6,8,1.867799737,3.528371357,-1.813856332,5.549455805,1.287862812,3.834885993,-2.550378717,5.12610434
S15,Sandstr?m et al. 2019,Saproxylic insects,add,richness,0,0,2,2,0.932914037,0.221758228,0.009926274,1.855901799,0.932914149,0.221758234,0.009926375,1.855901922
S16,Sandstr?m et al. 2019,Saproxylic insects,rare,richness,9,0,8,17,0.78629065,0.046060615,0.365640606,1.206940694,0.859675085,0.05093019,0.417347809,1.302002361
S17,Sandstr?m et al. 2019,Ground insects,all,richness,0,0,6,6,-0.148706426,0.06936848,-0.6649292,0.367516347,-0.263358194,0.079247012,-0.815114773,0.288398386
S18,Sandstr?m et al. 2019,Wood-inhabiting fungi,all,richness,1,1,1,3,0.676563822,0.060437917,0.194714984,1.15841266,0.589769508,0.194173222,-0.27390627,1.453445286
S19,Sandstr?m et al. 2019,Wood-inhabiting fungi,rare,richness,1,1,0,2,-0.07330752,0.421781233,-1.346223379,1.199608339,0.067370531,0.441181977,-1.234491475,1.369232537
B1,Bernes et al. 2018,Understorey vegetation (all),,abundance,1,18,46,65,-0.555463883,0.024216266,-0.860470783,-0.250456984,-0.69555021,0.091165602,-1.287345596,-0.103754825
B2,Bernes et al. 2018,Woody understorey (all),,abundance,3,21,49,73,-0.466166678,0.00619826,-0.620475575,-0.311857781,-0.644583677,0.022149102,-0.936282138,-0.352885216
B3,Bernes et al. 2018,Saplings (only),,abundance,0,0,4,4,-0.776006276,0.080285485,-1.331366267,-0.220646284,-0.996213798,0.156719799,-1.772135687,-0.220291909
B4,Bernes et al. 2018,Saplings/seedlings (unspecified),,abundance,1,15,13,29,-0.225145001,0.035138817,-0.592553876,0.142263874,-0.002335851,0.076957726,-0.54606446,0.541392757
B5,Bernes et al. 2018,Large tree seedlings (>0.3m),,abundance,0,0,5,5,-0.112733831,0.126262869,-0.809190175,0.583722512,-0.320808303,0.141180902,-1.057259626,0.41564302
B6,Bernes et al. 2018,Small tree seedlings (<0.3m),,abundance,0,0,9,9,0.138700496,0.029100019,-0.195650564,0.473051556,0.412730766,0.04971723,-0.024297505,0.849759036
B7,Bernes et al. 2018,Shrubs,,abundance,2,15,21,38,-0.485873361,0.007990126,-0.661072868,-0.310673855,-0.609916872,0.0299488,-0.949109018,-0.270724727
B8,Bernes et al. 2018,Graminoids,,abundance,2,19,33,54,0.147587652,0.020942174,-0.136052005,0.431227309,-0.043865011,0.072200227,-0.57051897,0.482788947
B9,Bernes et al. 2018,Forbs,,abundance,2,18,22,42,-0.083810751,0.006957604,-0.24729877,0.079677268,-0.061312698,0.024762305,-0.369739141,0.247113746
B10,Bernes et al. 2018,Bryophytes,,abundance,0,0,21,21,-0.365684203,0.025771199,-0.680331053,-0.051037354,-0.362007064,0.02871219,-0.69412263,-0.029891498
B11,Bernes et al. 2018,Understorey vegetation (all),,richness,4,14,30,48,0.263992057,0.034005785,-0.097444831,0.625428946,-0.013735301,0.145791443,-0.762115156,0.734644555
B12,Bernes et al. 2018,Woody understorey (all),,richness,1,14,16,31,-0.632784742,0.031031733,-0.978054936,-0.287514547,-0.20450949,0.07748027,-0.750080938,0.341061958
B13,Bernes et al. 2018,Saplings,,richness,14,0,10,24,-0.749392005,0.098172668,-1.363509357,-0.135274652,0.022540973,0.22002066,-0.896823681,0.941905627
B14,Bernes et al. 2018,Shrubs,,richness,14,0,5,19,-0.400779948,0.124823725,-1.093255812,0.291695915,-0.611268804,0.18446318,-1.453072673,0.230535064
B15,Bernes et al. 2018,Graminoids,,richness,14,0,2,16,0.329442319,0.066172828,-0.174749644,0.833634281,-0.017618039,0.095090384,-0.622017922,0.586781844
B16,Bernes et al. 2018,Forbs,,richness,14,0,7,21,0.719847561,0.131622029,0.008764453,1.430930669,0.437663616,0.264940484,-0.571194829,1.446522062
B17,Bernes et al. 2018,Bryophytes,,richness,0,0,9,9,0.751966158,0.041159218,0.354326558,1.149605759,0.818645012,0.04788281,0.389755045,1.247534979
B18,Bernes et al. 2018,Abies,,abundance,15,10,0,25,0.152178712,0.031770053,-0.197174744,0.501532167,-0.003766854,0.064496475,-0.501531514,0.493997806
B19,Bernes et al. 2018,Betula,,abundance,2,42,0,44,-0.149729905,0.01114704,-0.356665806,0.057205997,0.029319426,0.019472397,-0.244185893,0.302824745
B20,Bernes et al. 2018,Corylus,,abundance,1,1,1,3,-0.255694897,0.161069579,-1.042311001,0.530921206,0.204608617,0.301494471,-0.871598222,1.280815457
B21,Bernes et al. 2018,Fagus,,abundance,0,17,0,17,-0.034118484,0.029882278,-0.372933715,0.304696748,-0.016425098,0.03062186,-0.359407513,0.326557316
B22,Bernes et al. 2018,Fraxinus,,abundance,0,16,3,19,-0.308411579,0.037032332,-0.685589794,0.068766635,-0.349536802,0.054422954,-0.806779866,0.107706261
B23,Bernes et al. 2018,Pinus,,abundance,14,12,0,26,-0.001510459,0.014080184,-0.234083965,0.231063047,0.056072226,0.042129749,-0.346228211,0.458372664
B24,Bernes et al. 2018,Populus,,abundance,3,16,0,19,-0.031040619,0.047038936,-0.456134462,0.394053223,0.156596055,0.077477472,-0.388965543,0.702157654
B25,Bernes et al. 2018,Quercus,,abundance,0,32,0,32,-0.350974805,0.009855587,-0.545554406,-0.156395204,-0.341615413,0.021108208,-0.626377227,-0.0568536
B26,Bernes et al. 2018,Sorbus,,abundance,3,15,0,18,-0.129973799,0.026538174,-0.449268409,0.18932081,-0.08867867,0.041223282,-0.486627609,0.30927027
B27,Bernes et al. 2018,Tilia,,abundance,0,10,0,10,-0.312339542,0.213660516,-1.218318701,0.593639617,-0.649480903,0.301865793,-1.726350268,0.427388463
B28,Bernes et al. 2018,Tsuga,,abundance,0,4,0,4,-1.033978413,0.113581562,-1.694534942,-0.373421885,-0.870010709,0.137643828,-1.597178179,-0.142843239
B29,Bernes et al. 2018,Ulmus,,abundance,0,8,1,9,-0.112620381,0.022864426,-0.408991733,0.183750972,-0.126976901,0.06286,-0.618386076,0.364432274
B30,Bernes et al. 2018,Acer,,abundance,17,0,0,17,0.37319757,0.092452479,-0.222760015,0.969155154,0.341245235,0.106739663,-0.299107081,0.981597551
B31,Bernes et al. 2018,Betula,,abundance,10,0,0,10,-0.807848243,0.362398169,-1.987758751,0.372062266,-1.045235432,0.427208632,-2.32631493,0.235844066
B32,Bernes et al. 2018,Fraxinus,,abundance,2,0,0,2,-0.404465708,0.115493641,-1.070559073,0.261627658,-0.410428866,0.122807429,-1.097289128,0.276431396
B33,Bernes et al. 2018,Populus,,abundance,2,0,0,2,0.348635471,0.071836809,-0.176691367,0.873962309,0.265176833,0.099938519,-0.354439026,0.884792692
B34,Bernes et al. 2018,Quercus,,abundance,5,0,0,5,0.028269309,0.06711189,-0.47948756,0.536026178,0.057628075,0.077894587,-0.489400118,0.604656268
B35,Bernes et al. 2018,Alliaria petiolata,,abundance,8,0,0,8,1.295472234,0.076336017,0.753944356,1.837000113,1.257780238,0.078525801,0.708540112,1.807020364
B36,Bernes et al. 2018,Calluna vulgaris,,abundance,11,2,0,13,-0.783507928,0.430677399,-2.069777844,0.502761987,-0.270664998,1.145415283,-2.368336886,1.827006891
B37,Bernes et al. 2018,Deschampsia flexuosa,,abundance,6,0,0,6,1.045878407,0.051184938,0.602446272,1.489310542,1.088732071,0.070713536,0.567528539,1.609935603
B38,Bernes et al. 2018,Empetrum nigrum,,abundance,5,1,0,6,-0.201142326,0.055080427,-0.661139029,0.258854377,-0.174130792,0.229305566,-1.112693663,0.76443208
B39,Bernes et al. 2018,Maianthemum canadense,,abundance,3,0,1,4,1.023203818,0.036381428,0.649355058,1.397052578,1.032036421,0.040133258,0.639384001,1.424688841
B40,Bernes et al. 2018,Microstegium vimineum,,abundance,3,0,0,3,0.80545851,0.025506774,0.492430042,1.118486977,-0.035614179,0.127418637,-0.735250825,0.664022467
B41,Bernes et al. 2018,Trillium,,abundance,4,0,1,5,-1.158036055,0.76666561,-2.874201142,0.558129032,-0.2662925,1.256929258,-2.463704486,1.931119486
B42,Bernes et al. 2018,Vaccinium vitis-idaea,,abundance,18,4,0,22,-0.133381744,0.081978987,-0.694568412,0.427804924,-0.114618268,0.089969825,-0.702519687,0.47328315
B43,Bernes et al. 2018,Vaccinium myrtillus,,abundance,10,4,0,14,1.16758776,0.349845215,0.008292552,2.326882968,0.563048406,0.573754031,-0.921584035,2.047680846
B44,Bernes et al. 2018,Native,Understorey (all),abundance,26,10,0,36,0.228751762,0.036877312,-0.147636176,0.605139701,0.19902221,0.106679394,-0.441149298,0.839193718
B45,Bernes et al. 2018,Introduced,,abundance,4,0,0,4,0.510890536,0.072935017,-0.018436546,1.040217619,0.26799189,0.12268013,-0.41851229,0.954496069
B46,Bernes et al. 2018,Domestic,,abundance,14,6,1,21,-0.148732384,0.103599953,-0.779596538,0.482131769,-0.042867651,0.121560911,-0.726233144,0.640497842
B47,Bernes et al. 2018,Mixed,,abundance,2,2,0,4,-1.280916968,0.089764046,-1.86814568,-0.693688257,-1.253876264,0.092012452,-1.848413931,-0.659338597
B48,Bernes et al. 2018,Native,Woody understorey,abundance,33,12,0,45,-0.544769691,0.025316227,-0.856626736,-0.232912647,-0.229566342,0.074610914,-0.76494031,0.305807626
B49,Bernes et al. 2018,Introduced,,abundance,5,1,3,9,0.80545851,0.025506774,0.492430042,1.118486977,-0.035614179,0.127418637,-0.735250825,0.664022467
B50,Bernes et al. 2018,Domestic,,abundance,10,6,0,16,-1.773274134,0.90986481,-3.64285608,0.096307813,-1.87653708,0.930349825,-3.767048092,0.013973933
B51,Bernes et al. 2018,Mixed,,abundance,1,2,0,3,0.086185411,0.044021811,-0.325049545,0.497420367,-0.006122049,0.117664301,-0.678445764,0.666201666
B52,Bernes et al. 2018,Native,Graminoids,abundance,25,11,0,36,0.273064247,0.053309567,-0.179477499,0.725605994,0.231695571,0.061304186,-0.2535942,0.716985342
B53,Bernes et al. 2018,Introduced,,abundance,1,0,2,3,-0.601614445,0.077491918,-1.147226902,-0.056001988,-0.476052139,0.101408742,-1.10020903,0.148104752
